ags,57053888,-152,43,9702,47,-44,121
ags,57053889,-142,74,9645,57,-23,118
ags,57053890,-164,8,9650,68,-24,128
ags,57053891,-145,60,9626,66,-15,128
ags,57053892,-130,72,9570,56,-23,146
ags,57053893,-123,99,9638,63,-40,145
ags,57053894,-130,25,9648,70,-43,141
ags,57053895,-137,43,9609,71,-46,119
ags,57053896,-142,132,9672,43,-27,104
ags,57053897,-147,120,9682,42,-18,137
ags,57053898,-162,99,9587,56,-8,148
ags,57053899,-201,94,9572,62,-27,123
ags,57053900,-150,112,9599,66,-49,121
ags,57053901,-128,106,9675,63,-60,121
ags,57053902,-218,69,9641,58,-37,124
ags,57053903,-216,67,9653,75,-15,132
ags,57053904,-150,106,9606,82,-3,141
ags,57053905,-152,72,9531,68,-23,122
ags,57053906,-162,77,9572,66,-51,111
ags,57053907,-213,55,9521,63,-55,108
ags,57053908,-235,13,9579,69,-29,120
ags,57053909,-203,-11,9594,74,-18,114
ags,57053910,-184,-26,9631,61,-35,137
ags,57053911,-159,25,9599,61,-41,131
ags,57053912,-176,82,9623,50,-34,130
ags,57053913,-169,43,9653,41,-17,127
ags,57053914,-133,117,9670,51,-28,130
ags,57053915,-137,89,9692,77,-30,140
ags,57053916,-155,99,9570,68,-16,121
ags,57053917,-191,99,9562,68,-28,130
ags,57053918,-220,50,9592,73,-43,111
ags,57053919,-220,77,9587,53,-40,101
ags,57053920,-186,60,9555,57,-27,137
ags,57053921,-179,-4,9577,74,-31,132
ags,57053922,-172,52,9577,70,-34,106
ags,57053923,-128,99,9555,76,-40,114
ags,57053924,-130,142,9584,66,-52,127
ags,57053925,-162,149,9597,60,-43,135
ags,57053926,-133,134,9579,51,-34,138
ags,57053927,-147,77,9597,42,-19,135
ags,57053928,-133,57,9675,40,-32,133
ags,57053929,-176,62,9692,52,-43,138
ags,57053930,-155,21,9702,56,-39,130
ags,57053931,-189,60,9797,66,-13,114
ags,57053932,-164,62,9750,79,-17,101
ags,57053933,-181,-23,9743,82,-32,103
ags,57053934,-191,30,9677,77,-25,124
ags,57053935,-194,144,9621,79,-22,141
ags,57053936,-164,72,9611,73,-15,130
ags,57053937,-155,84,9636,62,-25,111
ags,57053938,-113,112,9619,58,-27,99
ags,57053939,-162,137,9455,48,-36,117
ags,57053940,-194,67,9531,40,-44,120
ags,57053941,-198,108,9575,53,-20,114
ags,57053942,-176,87,9521,54,-4,110
ags,57053943,-169,72,9465,53,-16,114
ags,57053944,-130,79,9560,50,-27,130
ags,57053945,-145,87,9643,53,-42,120
ags,57053946,-194,72,9553,47,-32,116
ags,57053947,-159,72,9619,62,-26,137
ags,57053948,-98,45,9670,63,-25,140
ags,57053949,-101,8,9706,62,-6,134
ags,57053950,-172,4,9677,54,-5,141
ags,57053951,-208,43,9697,56,-32,155
ags,57053952,-140,45,9694,55,-43,158
